Epoch,Train Loss,Train Acc (%),Val Acc (%)
1,0.0817,96.50,100.00
2,0.0060,99.80,100.00
3,0.0015,100.00,100.00
4,0.0007,100.00,100.00
5,0.0006,100.00,100.00
6,0.0005,100.00,100.00
7,0.0003,100.00,100.00
8,0.0013,100.00,100.00
9,0.0003,100.00,100.00
10,0.0002,100.00,100.00
